YEAR,MO,DY,Radiation2
1984,10,10,213.75
1984,10,11,210
1984,10,12,207.9166667
1984,10,13,212.0833333
1984,10,14,193.75
1984,10,15,188.3333333
1984,10,16,160.8333333
1984,10,17,170
1984,10,18,195
1984,10,19,212.5
1984,10,20,212.5
1984,10,21,207.9166667
1984,10,22,208.75
1984,10,23,191.25
1984,10,24,192.5
1984,10,25,186.25
1984,10,26,186.25
1984,10,27,174.1666667
1984,10,28,165
1984,10,29,169.5833333
1984,10,30,180
1984,10,31,146.6666667
1984,11,1,42.08333333
1984,11,2,53.75
1984,11,3,93.33333333
1984,11,4,34.16666667
1984,11,5,85.41666667
1984,11,6,82.91666667
1984,11,7,160.8333333
1984,11,8,149.1666667
1984,11,9,149.1666667
1984,11,10,143.75
1984,11,11,160.8333333
1984,11,12,127.5
1984,11,13,93.33333333
1984,11,14,47.91666667
1984,11,15,143.75
1984,11,16,47.91666667
1984,11,17,122.9166667
1984,11,18,98.75
1984,11,19,118.3333333
1984,11,20,115
1984,11,21,120.8333333
1984,11,22,82.91666667
1984,11,23,75
1984,11,24,126.25
1984,11,25,145.8333333
1984,11,26,142.5
1984,11,27,138.75
1984,11,28,101.6666667
1984,11,29,135.4166667
1984,11,30,136.6666667
1984,12,1,134.5833333
1984,12,2,131.6666667
1984,12,3,136.6666667
1984,12,4,117.0833333
1984,12,5,136.6666667
1984,12,6,133.75
1984,12,7,127.0833333
1984,12,8,127.0833333
1984,12,9,110
1984,12,10,129.1666667
1984,12,11,40.41666667
1984,12,12,47.08333333
1984,12,13,96.66666667
1984,12,14,130
1984,12,15,72.08333333
1984,12,16,51.66666667
1984,12,17,135
1984,12,18,137.0833333
1984,12,19,133.3333333
1984,12,20,68.33333333
1984,12,21,118.75
1984,12,22,80.83333333
1984,12,23,50.83333333
1984,12,24,112.9166667
1984,12,25,44.58333333
1984,12,26,110.8333333
1984,12,27,88.33333333
1984,12,28,127.0833333
1984,12,29,130.8333333
1984,12,30,135.4166667
1984,12,31,47.08333333
1985,1,1,43.33333333
1985,1,2,68.33333333
1985,1,3,76.25
1985,1,4,55
1985,1,5,81.25
1985,1,6,53.33333333
1985,1,7,100.8333333
1985,1,8,125.4166667
1985,1,9,103.75
1985,1,10,106.25
1985,1,11,102.0833333
1985,1,12,92.5
1985,1,13,116.25
1985,1,14,55.83333333
1985,1,15,142.5
1985,1,16,89.58333333
1985,1,17,60.41666667
1985,1,18,50.83333333
1985,1,19,45.41666667
1985,1,20,90
1985,1,21,102.9166667
1985,1,22,139.5833333
1985,1,23,153.3333333
1985,1,24,81.66666667
1985,1,25,102.9166667
1985,1,26,78.75
1985,1,27,66.25
1985,1,28,147.9166667
1985,1,29,62.91666667
1985,1,30,47.91666667
1985,1,31,60
1985,2,1,90.83333333
1985,2,2,109.1666667
1985,2,3,105.8333333
1985,2,4,120.4166667
1985,2,5,154.5833333
1985,2,6,150.4166667
1985,2,7,39.16666667
1985,2,8,115.4166667
1985,2,9,138.3333333
1985,2,10,63.33333333
1985,2,11,109.1666667
1985,2,12,92.5
1985,2,13,77.08333333
1985,2,14,37.08333333
1985,2,15,55.41666667
1985,2,16,182.9166667
1985,2,17,198.3333333
1985,2,18,100
1985,2,19,185.4166667
1985,2,20,197.5
1985,2,21,180.8333333
1985,2,22,95
1985,2,23,108.3333333
1985,2,24,47.91666667
1985,2,25,90.41666667
1985,2,26,179.5833333
1985,2,27,192.5
1985,2,28,198.75
1985,3,1,193.75
1985,3,2,205
1985,3,3,217.9166667
1985,3,4,148.75
1985,3,5,231.6666667
1985,3,6,245
1985,3,7,250.8333333
1985,3,8,248.75
1985,3,9,252.5
1985,3,10,250.4166667
1985,3,11,256.25
1985,3,12,216.25
1985,3,13,251.6666667
1985,3,14,241.6666667
1985,3,15,260.4166667
1985,3,16,111.6666667
1985,3,17,225.8333333
1985,3,18,105
1985,3,19,215.8333333
1985,3,20,163.75
1985,3,21,233.75
1985,3,22,79.58333333
1985,3,23,144.5833333
1985,3,24,217.5
1985,3,25,246.6666667
1985,3,26,159.5833333
1985,3,27,182.0833333
1985,3,28,214.5833333
1985,3,29,258.75
1985,3,30,97.5
1985,3,31,144.1666667
1985,4,1,185.4166667
1985,4,2,199.5833333
1985,4,3,252.0833333
1985,4,4,265
1985,4,5,207.0833333
1985,4,6,264.1666667
1985,4,7,267.9166667
1985,4,8,256.6666667
1985,4,9,258.3333333
1985,4,10,215
1985,4,11,260
1985,4,12,314.1666667
1985,4,13,312.9166667
1985,4,14,305.8333333
1985,4,15,282.9166667
1985,4,16,297.5
1985,4,17,322.0833333
1985,4,18,285.8333333
1985,4,19,312.0833333
1985,4,20,280.4166667
1985,4,21,176.25
1985,4,22,237.9166667
1985,4,23,307.9166667
1985,4,24,245
1985,4,25,290
1985,4,26,303.3333333
1985,4,27,284.5833333
1985,4,28,217.5
1985,4,29,212.5
1985,4,30,250
1985,5,1,290.8333333
1985,5,2,312.0833333
1985,5,3,341.6666667
1985,5,4,283.3333333
1985,5,5,266.6666667
1985,5,6,145.4166667
1985,5,7,148.75
1985,5,8,270.4166667
1985,5,9,252.5
1985,5,10,162.5
1985,5,11,302.0833333
1985,5,12,332.9166667
1985,5,13,307.9166667
1985,5,14,277.0833333
1985,5,15,251.6666667
1985,5,16,295
1985,5,17,295
1985,5,18,253.3333333
1985,5,19,338.3333333
1985,5,20,293.3333333
1985,5,21,307.9166667
1985,5,22,261.6666667
1985,5,23,172.0833333
1985,5,24,258.3333333
1985,5,25,323.3333333
1985,5,26,351.25
1985,5,27,322.5
1985,5,28,314.5833333
1985,5,29,220
1985,5,30,314.5833333
1985,5,31,288.75
1985,6,1,325
1985,6,2,302.9166667
1985,6,3,316.25
1985,6,4,340.4166667
1985,6,5,327.5
1985,6,6,297.5
1985,6,7,321.25
1985,6,8,362.5
1985,6,9,363.75
1985,6,10,365
1985,6,11,355.8333333
1985,6,12,361.25
1985,6,13,354.1666667
1985,6,14,341.6666667
1985,6,15,352.5
1985,6,16,348.3333333
1985,6,17,341.25
1985,6,18,315.4166667
1985,6,19,337.5
1985,6,20,351.6666667
1985,6,21,320
1985,6,22,369.1666667
1985,6,23,356.25
1985,6,24,357.5
1985,6,25,347.9166667
